,기업명,주소,직급,기술스택,자격요건,우대사항,url,기업url,업종분류,사원수,연혁,기업형태,매출액,평균연봉,자격요건_키워드,우대사항_키워드,사원수_범주형
69,살린,서울 마포구,주니어,"['NestJS', 'TypeORM', 'AWS S3', 'AWS RDS', 'GitLab']","['팀장급', 'ㆍ경력 : 3년이상의 경력 또는 그에 맞는 실력에 준한자', 'ㆍNestJS, TypeORM 으로 서버 개발 및 서버스 배포 경험이 있으신분', 'ㆍ코드리뷰와 기술 세션에 적극적인 분', 'ㆍ성능 최적화에 고민하고 노력하시는 분', 'ㆍ웹 소켓 서버 개발 경험이 있으신 분', 'ㆍ빌드/테스트/배포 자동화 경험이 있으신 분']","['ㆍ화상 채팅 서버 개발 경험이 있으신 분', 'ㆍ코드리뷰와 기술 세션에 적극적인 분', 'ㆍMSA 환경에서의 백엔드 개발 업무 경험이 있으신 분']",https://career.programmers.co.kr/job_positions/14084,https://www.salin.co.kr/,시스템ㆍ응용 소프트웨어 개발 및 공급업,31,9년 (2015년 설립),주식회사,1681000000,40280000,"['팀장', '팀장급', 'ㆍ', 'ㆍ경력', '3년이상', '실력', '서버', 'ㆍ코드리뷰', '코드', '리뷰', '세션', '적극적', 'ㆍ성능', '성능', '최적화', '고민', '노력', 'ㆍ웹', '웹', '소켓', 'ㆍ빌드', '테스트', '자동화', 'TypeORM']","['ㆍ', 'ㆍ화상', '화상', '채팅', '서버', 'ㆍ코드리뷰', '코드', '리뷰', '세션', '적극적', '백엔드']",100명이하
70,컨비니언스,서울 마포구,주니어,"['JavaScript', 'ReactJS', 'ES6', 'jQuery', 'AWS EC2', 'AWS S3', 'Next.js', 'TypeScript']","['React/Next.js, Typescript 를 활용한 프론트엔드 개발 경험이 있으신 분', 'React Hook에 대한 이해 및 개발 경험이 있으신 분', 'Git 사용에 불편함이 없으신 분', '바른생각이 추구하는 가치에 깊이 공감하고, 이를 기반으로 섹슈얼 라이프스타일 시장에 혁신을 만들어보고 싶으신 분']","['웹 서비스 운영 경험이 있으신 분', '합리적인 사고를 기반으로 최선의 선택을 하시는, 또는 하려고 노력하시는 분', '새로운 기술에 관심과 호기심이 많으신 분']",https://career.programmers.co.kr/job_positions/4674,https://cvkorea.co.kr/,시스템ㆍ응용 소프트웨어 개발 및 공급업,37,11년 (2013년 설립),주식회사,10523270000,43470000,"['프론트', '프론트엔드', '불편', '추구', '가치', '공감', '섹슈얼', '라이프', '라이프스타일', '스타일', '시장', '혁신', 'React', 'Next.js', 'Typescript', 'React', 'Git']","['웹', '합리적', '최선', '노력', '새', '호기심']",100명이하
71,쿤텍,경기 성남시 수정구,신입,"['Python', 'R', 'Java', 'AWS S3', 'Azure', 'GCP(Google Cloud Platform)', 'AWS EKS', 'Kubernetes']","['컴퓨터 사이언스, 공학, 수학 또는 관련 분야의 학사 학위 또는 이와 유사한 수준의 경험', '한가지 이상의 programming language (백엔드 위주 개발 경력 필요)', '한가지 이상의 클라우드 사용 경험']","['통계적 기법을 통한 데이터 분석 역량', 'R/Python 프로그래밍 및 기본적인 쿼리 작성 능력', 'AWS, Azure 등 클라우드 환경에 대한 이해', '쿠버네티스 및 도커에 대한 기술 역량', 'Tableau, MS Power BI 등 BI 사용 경험자', 'Snowflake 등 data warehouse, data lake 사용 경험자']",https://career.programmers.co.kr/job_positions/12730,https://coontec.kr/,시스템ㆍ응용 소프트웨어 개발 및 공급업,39,8년 (2016년 설립),주식회사,6914310000,56360000,"['컴퓨터', '사이언스', '공학', '수학', '학사', '백엔드', '클라우드', 'programming', 'language']","['통계적', '기법', '데이터', '분석', '프로그래밍', '클라우드', '쿠버', '도커', 'R', 'Python', 'Azure', 'Tableau', 'MS', 'Power', 'BI', 'BI', 'Snowflake', 'data', 'warehouse', 'data', 'lake']",100명이하
72,쿤텍,경기 성남시 수정구,신입,"['SQL', 'Python', 'Apache Spark', 'Java', 'Microsoft Azure', 'AWS EC2']","['- 컴퓨터 사이언스, 공학, 수학 또는 관련 분야의 학사 학위 또는 이와 유사한 수준의 경험', '- 최소 하나 이상의 SQL 기술(Hive, Pig, Impala, Spark SQL, Presto, Postgre SQL)에 대한 지식', '- 최소 하나 이상의 프로그래밍 언어(Java, JavaScript, Python 등)로 소프트웨어 코드를 개발한 경험 구현 업무 실무 수행 가능', '- 최소 하나 이상의 programming language (백엔드 위주 개발 경력 필요)', '- 최소 하나 이상의 클라우드 사용 경험']","['- Data Warehouse 설계, BI보고서 및 대시 보드 개발을 포함한 업계의 데이터베이스, 분석 기술에 대한 이해', '- ETL 파이프라인을 통해 BI 시각화를 위한 툴(Tableau, MS Power BI 등)에 리포팅해본 경험', '- SQL을 사용한 Raw Data핸들링 역량', '- 다양한 로그 데이터 운영 경험', '- Hadoop, Spark, Kafka 등의 데이터플랫폼 관련 경험', '- AWS, GCP, Azure와 같은 클라우드 서비스 위에서의 개발 경험', '- 웹 프론트엔드/백엔드 개발 경력', '- Spring, Flask, Django, Laravel 등 Web Framework를 이용한 개발 경험']",https://career.programmers.co.kr/job_positions/10895,https://coontec.kr/,시스템ㆍ응용 소프트웨어 개발 및 공급업,39,8년 (2016년 설립),주식회사,6914310000,56360000,"['컴퓨터', '사이언스', '공학', '수학', '학사', '프로그래밍', '소프트', '소프트웨어', '웨어', '코드', '구현', '백엔드', '클라우드', 'SQL', 'Hive', 'Pig', 'Impala', 'Spark', 'SQL', 'Presto', 'Postgre', 'SQL', 'Java', 'JavaScript', 'Python', 'programming', 'language']","['보고서', '대시', '보드', '포함', '업계', '데이터베이스', '분석', '파이프라인', '시각화', '리포팅해본', '포팅', '핸들링', '로그', '데이터', '데이터플랫폼', '플랫폼', '클라우드', '위', '웹', '프론트', '프론트엔드', '백엔드', 'Data', 'Warehouse', 'ETL', 'BI', 'Tableau', 'MS', 'Power', 'BI', 'Raw', 'Hadoop', 'Spark', 'Kafka', 'GCP', 'Spring', 'Flask', 'Django', 'Laravel', 'Web']",100명이하
73,쿤텍,경기 성남시 수정구,신입,"['Python', 'R', 'Azure', 'Machine Learning', 'GCP(Google Cloud Platform)', 'AWS EC2', 'AWS S3', 'AWS Lambda']","['컴퓨터공학, 데이터 , AI, 수학/통계학 등 전산계열 전공자', '개발 경험']",[''],https://career.programmers.co.kr/job_positions/10007,https://coontec.kr/,시스템ㆍ응용 소프트웨어 개발 및 공급업,39,8년 (2016년 설립),주식회사,6914310000,56360000,"['컴퓨터', '컴퓨터공학', '공학', '데이터', '수학', '통계학', '전산', '전산계열', '계열', '전공자', 'AI']",[],100명이하
74,누벤트,서울 강남구,주니어,"['Python', 'MySQL', 'AWS EC2', 'Linux', 'Redis', 'FastAPI']","['- python 기반 서비스 경험', '- 하나 이상의 RDBMS, NoSQL 사용 경험', '- AWS 인프라 사용 및 구축 경험', '- 3년 이상의 관련 기술 개발 경험']","['- 데이터&SaaS 서비스 개발 경험', '- API 연동 개발 경험', '- 정규표현식을 활용한 데이터 처리 경험']",https://career.programmers.co.kr/job_positions/12593,https://www.attracker.shop/,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,10,10년 (2014년 설립),주식회사,123100000,49440000,"['python', 'RDBMS', 'NoSQL']","['데이터', '연동', '정규', '정규표현식', '표현', '식', '처리', 'SaaS', 'API']",100명이하
75,셀러허브,서울 강남구,주니어,"['PHP', 'Redis', 'MySQL', 'JavaScript', 'Git', 'Docker', 'AWS EC2', 'AWS ElastiCache', 'AWS S3', 'AWS RDS', 'AWS Lambda']","['백엔드 개발경험 3년이상 또는 그에 준하는 경험이 있는 분', '함께 협업하는 사람들과 논리적으로 의사소통 할 수 있는 분', '다양한 프로젝트에 대한 자원 배분 및 시간을 관리할 수 있는 분', '장기적인 관점으로 확장성 있고 유연한 설계와 코드 품질에 대해 고민하는 분', 'RDBMS,Front-End 등 인접기술에 대한 이해가 있으신 분']","['개발을 진정 좋아하며, 본인이 맡은 기술적 챌린지를 해결해 나가는 것을 진정으로 즐기는 자세', '온라인 이커머스 환경에 대한 높은 이해도 및 관련 개발 경험', 'PHP framework (Laravel, Codeigniter, Phalcon, etc)을 사용해본 경험', '디자인 패턴 (Factory, Singleton, Strategy 등) 를 활용하여 서비스를 적용해본 경험', '자료구조 (스택, 큐, 선형구조 등)에 대한 이해도', 'AWS (EC2, S3, SNS, Lambda 등)을 활용한 개발 경험', '형상관리 경험 (Git,SVN,Mercurial) 이 있으신 분']",https://career.programmers.co.kr/job_positions/12652,http://www.sellerhub.co.kr/,통신 판매업,81,12년 (2012년 설립),주식회사,12003130000,45480000,"['백엔드', '개발경험', '3년이상', '협업', '사람', '논리적', '의사소통', '프로젝트', '자원', '배분', '장기적', '관점', '확장성', '코드', '품질', '고민', '인접', '인접기술', 'RDBMS', 'Front', 'End']","['본인', '기술적', '챌린지', '진정', '자세', '온라인', '머스', '디자인', '패턴', '적용', '자료구조', '구조', '스택', '선형', '선형구조', '형상', '형상관리', 'PHP', 'framework', 'Laravel', 'Codeigniter', 'Phalcon', 'etc', 'Factory', 'Singleton', 'Strategy', 'SNS', 'Lambda', 'Git', 'SVN', 'Mercurial']",100명이하
76,에이치투오호스피탈리티,서울 강남구,미들,"['AWS Elastic Beanstalk', 'AWS DynamoDB', 'GitHub', 'CircleCI', 'Node.js']",['Node.js를 응용한 실무 5년이상 백엔드 개발 경험'],"['Git/Github 사용 경험', '테스트 자동화 경험', 'AWS 배포/운영 경험']",https://career.programmers.co.kr/job_positions/12379,https://h2ohospitality.io/,건물 및 산업설비 청소업,20,9년 (2015년 설립),주식회사,369940000,44140000,"['응용', '5년이상', '백엔드', 'Node']","['테스트', '자동화', 'Git', 'Github']",100명이하
77,에이치투오호스피탈리티,서울 강남구,주니어,"['AWS CloudFront', 'AWS Certificate Manager', 'AWS S3', 'GitHub']",['React.js를 활용한 실무 2년 이상 백엔드 개발 경험'],"['Git/Github 사용 경험', '테스트 자동화 경험', 'AWS 배포/운영 경험']",https://career.programmers.co.kr/job_positions/12378,https://h2ohospitality.io/,건물 및 산업설비 청소업,20,9년 (2015년 설립),주식회사,369940000,44140000,"['백엔드', 'React']","['테스트', '자동화', 'Git', 'Github']",100명이하
78,아이트럭,서울 서초구,신입,"['Node.js', 'TypeScript', 'REST API', 'ExpressJS', 'MySQL', 'Sequelize.js', 'AWS EC2', 'AWS RDS', 'AWS S3']","['Node.js 숙련자 및 웹 서비스 이해가 있으신 분', 'TypeScript 기반 서버개발 및 운영 경험이 있으신 분', 'RESTful API 이해가 높은신 분', '상용 서비스 및 제품 개발에 참여해 본 경험이 있으신 분', '다양한 UI 개발 경험과 사용자 경험에 대한 깊이 있는 이해도를 보유하신 분', '논리적이고 체계적인 문제해결 능력이 있으신 분', '효과적인 의사전달 및 협업 능력이 있으신 분']",[''],https://career.programmers.co.kr/job_positions/12194,https://www.itruck.co.kr/,포털 및 기타 인터넷 정보 매개 서비스업,10,4년 (2020년 설립),주식회사,42157500,41040000,"['숙련자', '웹', '서버', '서버개발', '신', '제품', '참여', '사용자', '논리적', '체계적', '문제해결', '효과적', '의사', '의사전달', '전달', '협업', 'Node.js', 'TypeScript', 'RESTful', 'API', 'UI']",[],100명이하
